输入名称,代码,市场,真实简称,名称不一致,最新价,涨跌幅%,成交额亿元,换手率%,量比,PE,PB,总市值亿元,主力净流入万元,主力净占比%,行业,概念,风险标签,初筛分,研究优先级,数据源,量化总分,研究层级,动量分,流动性分,估值分,资金分,市值适配分,风险扣分,量化风险原因,数据完整性
金田股份,601609,SH,金田股份,否,12.69,1.12,13.55,6.27,3.39,32.21,2.22,219.36,9533.87,7.03,工业金属,"稀土永磁,特斯拉概念,苹果概念,无人机,人工智能,新能源车,特高压,机器人概念,算力概念,液冷概念,高压快充,小米汽车,PEEK材料概念,可控核聚变,铜缆高速连接,人形机器人,电网概念",,100,A-优先研究,东方财富push2实时行情接口,98.72,Q1-重点量化研究,100.0,100.0,100.0,92.0,100.0,0.0,,完整
厦门钨业,600549,SH,厦门钨业,否,68.69,6.0,54.26,5.16,1.6,24.63,6.17,1090.51,57270.08,10.55,小金属,"稀缺资源,新材料,锂电池概念,稀土永磁,央国企改革,小金属概念,独角兽,氢能源,MLCC,固态电池,动力电池回收,机器人概念,可控核聚变,电池技术",,97,A-优先研究,东方财富push2实时行情接口,98.2,Q1-重点量化研究,100.0,100.0,99.4,92.0,100.0,0.0,,完整
节能风电,601016,SH,节能风电,否,3.98,2.05,4.84,2.03,1.05,31.92,1.46,260.47,5013.27,10.37,电力,"新能源,风能,央国企改革,氢能源,抽水蓄能,绿色电力",,96,A-优先研究,东方财富push2实时行情接口,98.16,Q1-重点量化研究,100.0,100.0,100.0,92.0,100.0,0.0,,完整
铜陵有色,000630,SZ,铜陵有色,否,7.52,5.92,68.17,8.21,4.15,18.84,2.74,1008.39,6398.13,0.94,工业金属,"稀缺资源,新材料,黄金概念,锂电池概念,央国企改革,5G概念,电池技术,通信技术",,92,A-优先研究,东方财富push2实时行情接口,96.15,Q1-重点量化研究,100.0,95.0,100.0,92.0,100.0,0.5,量比过热,完整
晋控电力,000767,SZ,晋控电力,否,4.87,4.73,8.07,5.76,1.37,59.57,2.48,149.85,8859.42,10.98,电力,"新能源,光伏概念,风能,央国企改革,碳交易,绿色电力,超超临界发电",,91,A-优先研究,东方财富push2实时行情接口,94.59,Q1-重点量化研究,100.0,100.0,82.1,92.0,100.0,0.0,,完整
山子高科,000981,SZ,山子高科,否,3.34,4.38,5.54,1.76,1.67,33.26,10.77,333.92,5140.47,9.27,汽车零部件,"西部大开发,阿里概念,无人驾驶,新能源车,半导体概念,华为汽车,减速器",,90,A-优先研究,东方财富push2实时行情接口,94.42,Q1-重点量化研究,100.0,100.0,81.9,92.0,100.0,0.0,,完整
通富微电,002156,SZ,通富微电,否,60.81,6.27,50.94,5.66,1.55,70.11,5.94,922.85,28086.07,5.51,半导体,"物联网,移动支付,长江三角,智能穿戴,特斯拉概念,贬值受益,华为概念,国产芯片,半导体概念,第三代半导体,碳化硅,先进封装,毫米波概念,CPO概念,存储芯片,AIPC,玻璃基板,华为海思,消费电子概念,通信技术",,95,A-优先研究,东方财富push2实时行情接口,93.92,Q1-重点量化研究,100.0,100.0,74.4,92.0,100.0,0.0,,完整
润泽科技,300442,SZ,润泽科技,否,77.66,5.62,18.5,1.48,1.59,54.73,8.92,1274.59,20370.37,11.01,通信服务,"互联网服务,数据中心,东数西算,机器人概念,算力概念,液冷概念,Kimi概念,海南自贸",,92,A-优先研究,东方财富push2实时行情接口,93.52,Q1-重点量化研究,100.0,100.0,74.5,92.0,100.0,0.0,,完整
璞泰来,603659,SH,璞泰来,否,28.71,1.31,8.28,1.33,1.8,21.86,2.93,615.48,4143.47,5.0,电池,"锂电池概念,长江三角,特斯拉概念,新能源车,固态电池,储能概念,PVDF概念,复合集流体,电池技术",,88,A-优先研究,东方财富push2实时行情接口,93.52,Q1-重点量化研究,100.0,100.0,100.0,70.0,100.0,0.0,,完整
华能蒙电,600863,SH,华能蒙电,否,5.65,2.36,7.9,2.17,1.05,15.94,2.12,442.69,3604.77,4.56,电力,"光伏概念,西部大开发,风能,央国企改革,绿色电力",,88,A-优先研究,东方财富push2实时行情接口,93.52,Q1-重点量化研究,100.0,100.0,100.0,70.0,100.0,0.0,,完整
京能电力,600578,SH,京能电力,否,7.79,4.01,9.85,1.93,0.97,11.84,2.07,521.51,2587.89,2.63,电力,"新能源,风能,央国企改革,氢能源",,88,A-优先研究,东方财富push2实时行情接口,93.52,Q1-重点量化研究,100.0,100.0,100.0,70.0,100.0,0.0,,完整
三峡能源,600905,SH,三峡能源,否,4.23,1.2,5.55,0.46,1.25,29.07,1.35,1209.26,11718.16,21.13,电力,"新能源,光伏概念,风能,央国企改革,碳交易,钠离子电池,储能概念,绿色电力,电池技术",,88,A-优先研究,东方财富push2实时行情接口,92.94,Q1-重点量化研究,100.0,79.5,100.0,92.0,100.0,0.0,,完整
圣阳股份,002580,SZ,圣阳股份,否,21.52,3.81,6.28,6.53,1.28,40.07,4.08,97.67,4140.25,6.59,电池,"新能源,创投,锂电池概念,光伏概念,央国企改革,雄安新区,数据中心,鸿蒙概念,固态电池,钠离子电池,储能概念,液冷概念,电池技术",,83,A-优先研究,东方财富push2实时行情接口,92.23,Q1-重点量化研究,100.0,100.0,96.3,70.0,100.0,0.0,,完整
太极实业,600667,SH,太极实业,否,17.25,5.05,34.38,9.66,1.3,69.85,4.13,360.79,5928.67,1.72,工程咨询服务Ⅱ,"工程建设,光伏概念,长江三角,央国企改革,国产芯片,半导体概念,数据中心,绿色电力,先进封装,存储芯片",,87,A-优先研究,东方财富push2实时行情接口,91.57,Q1-重点量化研究,100.0,93.7,74.6,92.0,100.0,0.0,,完整
